District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Umaria,High,High,High,All,25.47,141.4,27.2,70.81,54.03,18.71,2339.0,1.75,98.0,2.0,135.0,81.14,1.22,2.82,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Una,Very Low,High,Moderate,Mitigation,25.99,196.1,32.9,45.17,89.82,61.82,2567.0,0.37,,,30.0,85.29,1.2,2.9,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Unnao,Very Low,Very High,High,Mitigation + GW Sustainability,67.44,161.2,81.8,78.57,80.22,61.31,5961.0,0.53,9.0,90.0,,95.65,0.64,1.79,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Unokoti,Very High,Very Low,Low,Adaptation,27.23,177.9,16.8,37.22,37.79,8.26,,,99.0,1.0,405.0,96.64,0.52,1.05,Tripura State Electricity Corporation Limited (TSECL),C,No
Upper Siang,Low,Very Low,Very Low,No Data,45.22,124.2,,9.31,,,123.0,,,,290.0,43.47,3.15,2.33,,,No data
Upper Subansiri,Low,Very Low,Very Low,No Data,28.19,136.9,19.3,11.39,7.49,0.18,31.0,,,,290.0,19.26,5.52,1.29,,,No data
Uttar Bastar Kanker,Moderate,Low,Very Low,No Data,28.84,107.0,16.9,44.83,20.93,33.66,,,,,,69.83,1.74,2.55,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Uttar Dinajpur,Moderate,High,Low,Mitigation,87.33,187.7,31.4,39.09,95.2,46.86,10493.0,0.91,42.0,58.0,460.0,95.13,0.84,3.88,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Uttara Kannada,Moderate,Low,Moderate,No Data,12.17,110.1,34.7,59.24,50.71,32.11,1313.0,1.27,99.0,1.0,,91.7,0.81,1.51,Mangalore Electricity Supply Company Limited (MESCOM),A,Yes
Uttarkashi,Moderate,Low,Low,No Data,3.55,141.9,,35.83,1.57,,40.0,0.04,18.0,81.0,285.0,90.1,0.88,5.83,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Vadodara,Low,High,Very High,Mitigation + GW Sustainability,71.82,103.5,68.2,74.69,84.63,64.36,2022.0,1.29,100.0,,60.0,75.3,1.51,1.03,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
Vaishali,Very Low,Moderate,High,GW Sustainability,58.06,146.8,68.0,62.16,88.31,69.46,1635.0,0.38,100.0,,67.5,98.19,0.36,2.61,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Valsad,High,Moderate,High,Adaptation + GW Sustainability,54.93,103.9,41.8,69.51,64.23,26.56,1770.0,0.88,100.0,,60.0,82.82,1.22,1.0,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
Varanasi,Very Low,Very High,High,Mitigation + GW Sustainability,66.59,163.1,84.1,74.65,76.45,87.78,1867.0,0.07,13.0,86.0,,99.1,0.32,1.59,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Vellore,Very Low,Low,Very High,GW Sustainability,21.59,122.1,57.6,55.71,90.99,112.5,3035.0,1.33,92.0,6.0,,95.93,0.63,1.94,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Vidisha,Low,Moderate,High,GW Sustainability,73.81,188.5,45.5,70.76,58.71,64.4,3233.0,0.66,83.0,16.0,135.0,62.86,2.38,2.52,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Viluppuram,Moderate,Moderate,Very High,GW Sustainability,48.31,135.6,68.3,61.69,80.99,88.2,6599.0,1367.43,99.0,1.0,,95.6,0.58,1.05,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Virudunagar,High,Moderate,High,Adaptation + GW Sustainability,32.8,101.6,36.6,62.57,65.31,56.75,3707.0,11.14,94.0,3.0,,89.64,0.88,1.18,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Visakhapatnam,High,Very Low,Low,Adaptation,23.16,120.8,42.5,59.05,24.54,41.05,10354.0,1.81,85.0,12.0,,92.51,0.82,1.86,Eastern Power Distribution Company of Andhra Pradesh Limited (APEPDCL),A,Yes
Vizianagaram,Very High,Low,Moderate,Adaptation,34.67,127.4,52.9,56.2,20.53,23.14,10752.0,12.11,79.0,8.0,,93.53,0.69,1.6,Eastern Power Distribution Company of Andhra Pradesh Limited (APEPDCL),A,Yes
Warangal,Low,High,Very High,Mitigation + GW Sustainability,70.46,128.8,83.5,65.54,65.65,56.86,2669.0,0.61,100.0,,,92.42,0.8,1.33,Northern Power Distribution Company of Telangana Limited (TSNPDCL),C,No
Wardha,High,Low,Moderate,Adaptation,59.6,155.6,9.5,66.34,90.36,53.55,1372.0,0.44,100.0,,155.0,62.87,1.97,1.25,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Washim,Moderate,Low,High,GW Sustainability,64.24,109.8,9.9,62.1,88.08,60.2,2111.0,0.41,99.0,1.0,155.0,75.18,1.58,1.3,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Wayanad,Very High,Low,Moderate,Adaptation,53.4,147.9,13.2,52.78,20.3,27.67,1943.0,1.07,99.0,1.0,195.0,96.7,0.41,1.27,Kerala State Electricity Board Limited (KSEBL),B-,No
West,Very Low,Moderate,Very High,GW Sustainability,14.84,182.1,,80.69,75.73,96.24,77.0,0.02,56.0,43.0,150.0,81.39,1.25,1.0,,,No data
West Garo Hills,High,Very Low,Very Low,Adaptation,23.53,129.0,39.1,35.63,13.19,17.94,2335.0,1.67,2.0,87.0,300.0,71.91,1.65,1.67,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
West Godavari,Moderate,High,High,Mitigation + GW Sustainability,48.39,142.8,91.7,62.74,49.92,10.99,29600.0,10.33,98.0,2.0,,92.03,0.79,1.61,Eastern Power Distribution Company of Andhra Pradesh Limited (APEPDCL),A,Yes
West Kameng,High,Very Low,Very Low,Adaptation,46.75,111.8,5.0,32.88,,0.09,18.0,,,99.0,290.0,69.32,2.02,2.56,,,No data
West Khasi Hills,Low,Very Low,Very Low,No Data,3.59,137.9,72.2,28.29,0.1,1.55,1158.0,0.4,,100.0,300.0,78.37,1.1,1.36,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
West Nimar,Moderate,High,High,Mitigation + GW Sustainability,50.85,170.7,71.3,78.4,69.51,45.93,,,91.0,9.0,135.0,71.4,1.75,1.81,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
West Siang,Low,Very Low,Very Low,No Data,49.85,111.1,43.9,12.35,11.37,0.16,63.0,,,100.0,290.0,40.06,3.12,2.23,,,No data
West Sikkim,No Data,No Data,No Data,No Data,,115.0,,12.64,,6.63,52.0,0.02,,,,82.17,1.22,1.09,,,No data
West Tripura,High,Low,Low,Adaptation,31.96,184.5,24.4,36.33,34.4,21.21,,,100.0,,405.0,97.87,0.36,1.11,Tripura State Electricity Corporation Limited (TSECL),C,No
Wokha,Moderate,Very Low,Very Low,No Data,22.7,151.5,19.8,31.13,10.78,2.35,41.0,0.01,,,320.0,6.74,5.92,1.69,,,No data
Y.S.R.,Moderate,Moderate,Moderate,No Data,22.2,108.1,48.5,68.42,80.76,33.85,7155.0,1.58,99.0,,,84.83,1.14,1.48,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Yadgir,High,Low,Moderate,Adaptation,76.7,123.9,47.2,63.85,34.89,37.99,349.0,0.06,100.0,,,69.34,1.86,1.5,Gulbarga Electricity Supply Company Limited (GESCOM),C,Yes
Yamunanagar,Very Low,Moderate,Very High,GW Sustainability,65.75,192.6,98.7,64.74,92.77,138.53,799.0,0.32,100.0,,10.0,72.06,1.94,5.5,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Yanam,Very High,Low,Very Low,Adaptation,20.33,134.1,,73.53,23.68,,25.0,0.69,,,,90.49,0.91,1.72,,,No data
Yavatmal,High,Low,Low,Adaptation,56.31,102.0,4.3,66.42,86.46,33.75,2316.0,0.85,100.0,,155.0,59.89,2.03,1.34,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Zunheboto,High,Very Low,Very Low,Adaptation,28.51,129.0,11.5,30.37,0.04,4.08,189.0,0.01,,,320.0,34.79,4.96,1.09,,,No data
